beer_id|Name|style|abv|brewery_id
29226|Great Western Natural Draft|American Adjunct Lager|5|2014
26673|Western Centennial Lager 1905-2005|American Adjunct Lager|5|2014
60868|Hakone Fusai Stout|Milk / Sweet Stout|7.5|23408
63581|Falls City Beer|English Pale Ale|4.5|22779
20533|Traffic Jam Canfield Pale Ale|American Pale Ale (APA)|NA|2094
13777|Ueli Weizen|Hefeweizen|NA|7533
13776|Ueli Hell|Euro Pale Lager|NA|7533
45108|Ueli Bier Spezial|German Pilsener|5|7533
13779|Ueli Reverenz Spezial|Euro Pale Lager|NA|7533
55512|Ueli Winterbogg|Märzen / Oktoberfest|5.4|7533
2563|Tusker Premium Lager|American Adjunct Lager|4.2|822
39372|Strawberry Lambic|Lambic - Fruit|NA|1170
34084|Val-Dieu Grand Cru|Quadrupel (Quad)|10.5|826
27700|Tusker Malt Lager|American Pale Lager|5|822
38507|Allsopps Lager|Euro Strong Lager|5.5|822
38486|White Cap Lager|Euro Pale Lager|4.2|822
38469|Pilsner|Czech Pilsener|4.7|822
16907|Lager|American Adjunct Lager|5.4|9262
32771|Alhambra Especial|American Adjunct Lager|5.4|9262
32806|Mezquita|Euro Strong Lager|7.2|9262
16764|Reserva 1925|Euro Strong Lager|6.4|9262
22584|Alhambra Negra|Euro Dark Lager|5.4|9262
64318|Oak Aged 10 Degrees Below|Dunkelweizen|7.4|1397
4435|Giant Sequoia Ale|American Pale Ale (APA)|NA|1397
10496|Scuttlebutt Amber|American Amber / Red Ale|5.1|1397
33809|10 Degrees Below|Weizenbock|7.4|1397
19341|La Gaumaise Blonde|Belgian Pale Ale|6.5|3328
27380|1900 Spéciale Bonnes Fêtes|Belgian Strong Pale Ale|8|3328
19342|La Gaumaise Brune|Belgian Dark Ale|5|3328
17050|"D""Annaba Brul"|English Brown Ale|5.45|5003
13615|Weizen Bock|Weizenbock|7.9|1397
57731|Mateo Loco|American Amber / Red Ale|10|1397
70115|Wee Willie Stout|Irish Dry Stout|4.5|1397
24845|Chamomile Blonde|Herbed / Spiced Beer|3.7|1397
9267|Old No. 1 Barleywine|English Barleywine|13.2|1397
76893|Happy Ending|American Amber / Red Ale|5.1|1397
13614|Sequoia Red|American Amber / Red Ale|4.9|1397
5223|Gale Force India Style Pale Ale|American IPA|5.25|1397
10427|Mai Bock|Maibock / Helles Bock|6.6|1397
24846|Anthony's Ale|American Pale Ale (APA)|NA|1397
13613|Amber|American Amber / Red Ale|4.3|1397
13612|Hefe Weizen|American Pale Wheat Ale|4.4|1397
5111|India Pale Ale|American IPA|6.8|695
10343|La Belge|Belgian Strong Pale Ale|8|771
61469|Hoptopia|American Double / Imperial IPA|8|1397
13611|Homeport Blonde|American Blonde Ale|4.6|1397
58363|Rausch E Balboa|Smoked Beer|5|695
65765|Tell Tale Red Ale|American Amber / Red Ale|5|1397
66923|IPA|English India Pale Ale (IPA)|NA|1397
51825|Caru' Cu Bere|Euro Pale Lager|NA|20781
55735|Pilsner|German Pilsener|NA|21996
55736|Stout|Irish Dry Stout|NA|21996
55734|Red Wheat|American Pale Wheat Ale|NA|21996
56816|Quaker City Stout|Oatmeal Stout|5.6|695
12925|Alt|Altbier|NA|695
2226|Schuylkill Punch|Fruit / Vegetable Beer|6.7|695
61812|ALTercation|Altbier|NA|695
23688|Belgian Wheat|Witbier|NA|695
53667|Hop Phanatic|American Amber / Red Ale|8.2|695
10625|Blueberry Wheat|Fruit / Vegetable Beer|NA|695
69055|Helles Belles|Maibock / Helles Bock|NA|695
33697|Tripel Lindy|Tripel|7.5|695
23456|Brilliant Barstool|Extra Special / Strong Bitter (ESB)|5.1|695
6832|Krook's Mill|American Pale Ale (APA)|5.3|695
55585|Yunkers Noctornum|Belgian Strong Dark Ale|10.5|695
18764|Dreamin' Double IPA|American Double / Imperial IPA|8.5|695
24034|Whistle Whetting Wheat|Hefeweizen|4.3|695
70531|Summer Paradise|American Pale Wheat Ale|4.9|695
33675|Presidential Pumpkin|Pumpkin Ale|5.5|695
58366|Red Rye Ale|Rye Beer|5.2|695
2225|Hop Goblin|American IPA|5|695
61175|Rye Of The Tiger|Rye Beer|6.8|695
7781|Trappist Triple|Tripel|8|695
5437|Festbier|Märzen / Oktoberfest|NA|695
27031|Hop Harvest|American Pale Ale (APA)|5.5|695
57391|The Hive|American IPA|7.1|695
6834|Philadelphia Porter|American Porter|6|695
44018|DunkelWeizen|Dunkelweizen|5|695
34428|Best Of This Festivus|American Strong Ale|7.8|695
3147|Kellerbier|Keller Bier / Zwickel Bier|NA|695
25494|Brown Dog Ale|English Brown Ale|4.7|695
68090|Smokehouse Porter|Smoked Beer|5.5|695
26464|Bill's Elixir|German Pilsener|NA|695
7341|Main Street Wheat|Hefeweizen|NA|695
6831|Manayunk Lager|Märzen / Oktoberfest|5.3|695
43975|Peach Wheat|Fruit / Vegetable Beer|5|695
8966|Shamokin Lager|Smoked Beer|5.3|695
64804|Iron Curtain Imperial Stout|American Double / Imperial Stout|9.1|695
15385|Buster Brown Ale|English Brown Ale|5|695
38592|Poblano Porter|English Brown Ale|4.8|695
65310|Antwerp Ale|Belgian Pale Ale|NA|695
11446|Saison|Saison / Farmhouse Ale|5.3|695
47198|Title Bout Stout|Oatmeal Stout|5.6|695
69079|Charlie Brown|Herbed / Spiced Beer|5.8|695
10623|Main Street Maibock|Maibock / Helles Bock|6.2|695
31225|Wit Or Witout|Witbier|NA|695
61680|Specialty Ale|American Blonde Ale|4.7|695
12677|Uber Dunkelweisse|Dunkelweizen|6.7|695
62720|Yunkin' Punkin'|Pumpkin Ale|5.5|695
5615|Steamed Fritz|California Common / Steam Beer|NA|695
47199|Double Down Brown|American Brown Ale|5.3|695
21152|Grand Cru (2004 Edition)|Belgian Strong Dark Ale|9.1|695
69802|Brewerytown Brown|American Brown Ale|5.9|695
